Index,Source_ID,Facility_Name,Facility_Type,Authority_Name,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3,ISCED4Plus,OLMS_Status,Full_Addr,Unit,Street_No,Street_Name,City,Prov_Terr,Postal_Code,PRUID,CSDNAME,CSDUID,Longitude,Latitude,Geo_Source,Provider,CMANAME,CMAUID
22d419f97afba4e3e46d,1466,École Joseph-Moreau,Francophone,The Greater North Central Francophone Education Region,..,0,0,1,0,..,1,9750 - 74 Avenue Edmonton AB T6E1E8,,9750,74 avenue,Edmonton,AB,T6E1E8,48,Edmonton,4811061,-113.4812942,53.51064275,Nominatim,Province of Alberta,Edmonton,835
bb5664826c68c18f0c90,1467,École Alexandre-Taché,Francophone,The Greater North Central Francophone Education Region,..,0,0,1,1,..,1,30 Erin Ridge Drive St. Albert AB T8N5S5,,30,erin ridge drive,St. Albert,AB,T8N5S5,48,St. Albert,4811062,-113.6250664,53.65889362,AGOL,Province of Alberta,Edmonton,835
3b6e0d66ab951460be66,1786,École Saint-Vital,Francophone,The Greater North Central Francophone Education Region,..,1,1,1,0,..,1,5505 Avenue Magasin Beaumont AB T4X1V8,,5505,avenue magasin,Beaumont,AB,T4X1V8,48,Beaumont,4811013,-113.4219248,53.3385921,Nominatim,Province of Alberta,Edmonton,835
77cd6b9f5ae674d9f400,2125,École Michaëlle-Jean,Francophone,The Greater North Central Francophone Education Region,..,0,1,1,1,..,1,10005 - 84 Street NW Edmonton AB T6A3P8,,10005,84 street nw,Edmonton,AB,T6A3P8,48,Edmonton,4811061,-113.456566,53.53972827,AGOL,Province of Alberta,Edmonton,835
a54b02c277d8a7c42b18,1228,École Mont Carmel,Public,DSF-S,..,1,1,1,0,..,1,"1545, Route 525 Sainte-Marie-de-Kent E4S 2H2 NB",,1545,route 525,Sainte-Marie-de-Kent,NB,E4S2H2,13,Saint Mary,1308006,-64.82560578,46.41469453,Source,Province of New Brunswick,...,...
562b19860494e3bd5690,1226,École Clément-Cormier,Public,DSF-S,..,..,0,1,1,..,1,"37, avenue Richard Bouctouche E4S 3T5 NB",,37,avenue richard,Bouctouche,NB,E4S3T5,13,Bouctouche,1308005,-64.72410659,46.47555161,Source,Province of New Brunswick,...,...
e019eec9e0a8fe92d7ac,1202,École Dr-Marguerite-Michaud,Public,DSF-S,..,1,1,1,0,..,1,"42, avenue Richard Bouctouche E4S 3N1 NB",,42,avenue richard,Bouctouche,NB,E4S3N1,13,Bouctouche,1308005,-64.72257482,46.47376375,Source,Province of New Brunswick,...,...
a6d49a1df2d8ac5480b0,1206,École Blanche-Bourgeois,Public,DSF-S,..,1,1,1,0,..,1,"29, chemin Cocagne Cross Cocagne E4R 2J1 NB",,29,chemin cocagne cross cocagne,Cocagne,NB,E4R2J1,13,Cocagne,1308002,-64.61581399,46.34761686,Source,Province of New Brunswick,...,...
5ac74dd448588d6bf06b,1227,École Camille-Vautour,Public,DSF-S,..,1,1,1,0,..,1,"7, avenue Clément Saint-Antoine E4V 1E2 NB",,7,avenue clément saint-antoine,Saint-Antoine,NB,E4V1E2,13,Saint-Antoine,1308007,-64.75362401,46.35959505,Source,Province of New Brunswick,...,...
12e9935cc9c7e79bf9d0,1213,École Notre-Dame,Public,DSF-S,..,1,1,1,0,..,1,"3860, Route 115 Notre-Dame E4V 2J2 NB",,3860,route 115 notre-dame,Notre-Dame,NB,E4V2J2,13,Dundas,1308001,-64.73485047,46.30704659,Source,Province of New Brunswick,...,...
