Index,Source_ID,Facility_Name,Facility_Type,Authority_Name,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3,ISCED4Plus,OLMS_Status,Full_Addr,Unit,Street_No,Street_Name,City,Prov_Terr,Postal_Code,PRUID,CSDNAME,CSDUID,Longitude,Latitude,Geo_Source,Provider,CMANAME,CMAUID
22d419f97afba4e3e46d,1466,École Joseph-Moreau,Francophone,The Greater North Central Francophone Education Region,,0.0,0.0,1.0,0.0,,1,9750 - 74 Avenue Edmonton AB T6E1E8,,9750,74 avenue,Edmonton,AB,T6E1E8,48,Edmonton,4811061,-113.4812942,53.51064275,Nominatim,Province of Alberta,Edmonton,835
bb5664826c68c18f0c90,1467,École Alexandre-Taché,Francophone,The Greater North Central Francophone Education Region,,0.0,0.0,1.0,1.0,,1,30 Erin Ridge Drive St. Albert AB T8N5S5,,30,erin ridge drive,St. Albert,AB,T8N5S5,48,St. Albert,4811062,-113.6250664,53.65889362,AGOL,Province of Alberta,Edmonton,835
77cd6b9f5ae674d9f400,2125,École Michaëlle-Jean,Francophone,The Greater North Central Francophone Education Region,,0.0,1.0,1.0,1.0,,1,10005 - 84 Street NW Edmonton AB T6A3P8,,10005,84 street nw,Edmonton,AB,T6A3P8,48,Edmonton,4811061,-113.456566,53.53972827,AGOL,Province of Alberta,Edmonton,835
5ac74dd448588d6bf06b,1227,École Camille-Vautour,Public,DSF-S,,1.0,1.0,1.0,0.0,,1,"7, avenue Clément Saint-Antoine E4V 1E2 NB",,7,avenue clément saint-antoine,Saint-Antoine,NB,E4V1E2,13,Saint-Antoine,1308007,-64.75362401,46.35959505,Source,Province of New Brunswick,...,...
972525ebb00320c04c3f,1356,École Donat-Robichaud,Public,DSF-S,,1.0,1.0,1.0,0.0,,1,"2632, chemin Acadie Cap-Pelé E4N 1E3 NB",,2632,chemin acadie,Cap-Pelé,NB,E4N1E3,13,Cap-Pelé,1307007,-64.27354423,46.21773523,Source,Province of New Brunswick,...,...
738c20a57ace455b211f,1360,École L'Odyssée,Public,DSF-S,,,0.0,1.0,1.0,,1,"60, promenade Léopold F. Belliveau Moncton E1A 8V4 NB",,60,promenade léopold f belliveau,Moncton,NB,E1A8V4,13,Moncton,1307022,-64.79111841,46.11898161,Source,Province of New Brunswick,Moncton,305
bf658b0951347d81f5e1,1359,École Le Mascaret,Public,DSF-S,,,1.0,1.0,0.0,,1,"50, promenade Léopold F. Belliveau Moncton E1A 8V3 NB",,50,promenade léopold f belliveau,Moncton,NB,E1A8V3,13,Moncton,1307022,-64.79134319,46.11940581,Source,Province of New Brunswick,Moncton,305
5c95a2d2ee3d567a4d65,719,École La Ruche,Public,DSF-NE,,1.0,1.0,0.0,0.0,,1,"635, rue de l'Église Tracadie-Sheila E1X 1B1 NB",,635,rue de l'église,Tracadie-Sheila,NB,E1X1B1,13,Tracadie,1315002,-64.9234184,47.51263595,Source,Province of New Brunswick,...,...
e5b70fd3ef349963c41e,4143,François-Xavier-Daigle,Public,DSF-NE,,1.0,1.0,1.0,0.0,,1,"4572, Route 134 Allardville E8L 1E4 NB",,4572,route 134,Allardville,NB,E8L1E4,13,Allardville,1315006,-65.4942474,47.4757187,Source,Province of New Brunswick,...,...
d8ec122f53907c2f322a,3517,La Mosaïque du Nord,Public,DSF-NE,,1.0,1.0,1.0,0.0,,1,"385, avenue des Pionniers Balmoral E8E 1B2 NB",,385,avenue des pionniers,Balmoral,NB,E8E1B2,13,Eel River Crossing,1314011,-66.43313202,47.99773677,Source,Province of New Brunswick,...,...
9e3f350aea6cec27b861,4114,Le Tournesol,Public,DSF-NE,,1.0,1.0,0.0,0.0,,1,"63, rue LaPlante est Petit-Rocher E8J 1H4 NB",,63,rue laplante est,Petit-Rocher,NB,E8J1H4,13,Petit-Rocher,1315014,-65.71595169,47.78205156,Source,Province of New Brunswick,Bathurst,328
