PPIN,NAME,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,SCHOOL_TYPE,NCESSCH,LEAID,OPSTFIPS,GSLO,GSHI,LEVEL,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,LOGR2020,HIGR2020,LEVEL_private,LEVEL2,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3,ISCED_count
nan,NEW MIDDLE,5104 PLEASANTON PKWY,PFLUGERVILLE,TX,78660,48,48453,Travis County,41,30.427255,-97.571739,12420,"Austin-Round Rock-Georgetown, TX",1,N,N,N,N,4810,48050,48014,2019-2020,Public,483483013972,4834830,48,M,M,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,,,,,0,0,0,0,0,0
nan,NEW EL,5100 PLEASANTON PKWY,PFLUGERVILLE,TX,78660,48,48453,Travis County,41,30.425294,-97.567812,12420,"Austin-Round Rock-Georgetown, TX",1,N,N,N,N,4810,48050,48014,2019-2020,Public,483483014000,4834830,48,M,M,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,,,,,0,0,0,0,0,0
nan,JOHN MCKEEVER EL,1310 W RIDGE,ALAMO,TX,78516,48,48215,Hidalgo County,21,26.174402,-98.129811,32580,"McAllen-Edinburg-Mission, TX",1,365,"McAllen-Edinburg, TX",N,N,4834,48039,48027,2019-2020,Public,483486003909,4834860,48,PK,05,Elementary,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,,,,,1,1,1,0,0,3
nan,ZEFERINO FARIAS EL,1100 W ACACIA ST,ALAMO,TX,78516,48,48215,Hidalgo County,21,26.186241,-98.124868,32580,"McAllen-Edinburg-Mission, TX",1,365,"McAllen-Edinburg, TX",N,N,4834,48039,48027,2019-2020,Public,483486003925,4834860,48,PK,05,Elementary,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,,,,,1,1,1,0,0,3
nan,SGT LEONEL TREVINO EL,901 E EL DORA RD,SAN JUAN,TX,78589,48,48215,Hidalgo County,21,26.219445,-98.136514,32580,"McAllen-Edinburg-Mission, TX",1,365,"McAllen-Edinburg, TX",N,N,4815,48039,48027,2019-2020,Public,483486011397,4834860,48,PK,05,Elementary,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,,,,,1,1,1,0,0,3
nan,KENNEDY MIDDLE,600 W HALL ACRES RD,PHARR,TX,78577,48,48215,Hidalgo County,21,26.16824,-98.194713,32580,"McAllen-Edinburg-Mission, TX",1,365,"McAllen-Edinburg, TX",N,N,4815,48036,48027,2019-2020,Public,483486011569,4834860,48,06,08,Middle,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,,,,,0,0,1,1,0,2
nan,CORONADO MIDDLE,2501 JOLIET ST,PLAINVIEW,TX,79072,48,48189,Hale County,33,34.206293,-101.71697,38380,"Plainview, TX",2,352,"Lubbock-Plainview-Levelland, TX",N,N,4819,48088,48028,2019-2020,Public,483507012968,4835070,48,06,08,Middle,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,,,,,0,0,1,1,0,2
nan,PLANO FAMILY LITERACY,1300 19TH ST,PLANO,TX,75074,48,48085,Collin County,11,33.024896,-96.696984,19100,"Dallas-Fort Worth-Arlington, TX",1,206,"Dallas-Fort Worth, TX-OK",N,N,4803,48067,48008,2019-2020,Public,483510009175,4835100,48,PK,PK,Prekindergarten,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,1,0,0,0,0,1
nan,ALLAN K & CAROLYN H BIRD EDUCATION CENTER,1300 19TH ST,PLANO,TX,75074,48,48085,Collin County,11,33.024896,-96.696984,19100,"Dallas-Fort Worth-Arlington, TX",1,206,"Dallas-Fort Worth, TX-OK",N,N,4803,48067,48008,2019-2020,Public,483510009654,4835100,48,KG,08,Elementary,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,,,0,1,1,1,0,3
nan,ADULT BASIC ED,1300 19TH ST,PLANO,TX,75074,48,48085,Collin County,11,33.024896,-96.696984,19100,"Dallas-Fort Worth-Arlington, TX",1,206,"Dallas-Fort Worth, TX-OK",N,N,4803,48067,48008,2019-2020,Public,483510010506,4835100,48,M,M,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,,,,,0,0,0,0,0,0
