Tile Name -> Server Filename Mapping
============================================================

N-15_W170       -> w170_n-10_w165_n-15.geojson
N10_W140        -> w140_n15_w135_n10.geojson
N10_W145        -> w145_n15_w140_n10.geojson
N15_W065        -> w065_n20_w060_n15.geojson
N15_W070        -> w070_n20_w065_n15.geojson
N15_W155        -> w155_n20_w150_n15.geojson
N15_W160        -> w160_n20_w155_n15.geojson
N20_W080        -> w080_n25_w075_n20.geojson
N20_W085        -> w085_n25_w080_n20.geojson
N20_W155        -> w155_n25_w150_n20.geojson
N20_W160        -> w160_n25_w155_n20.geojson
N25_W080        -> w080_n30_w075_n25.geojson
N25_W085        -> w085_n30_w080_n25.geojson
N25_W090        -> w090_n30_w085_n25.geojson
N25_W095        -> w095_n30_w090_n25.geojson
N25_W100        -> w100_n30_w095_n25.geojson
N25_W105        -> w105_n30_w100_n25.geojson
N30_W075        -> w075_n35_w070_n30.geojson
N30_W080        -> w080_n35_w075_n30.geojson
N30_W085        -> w085_n35_w080_n30.geojson
N30_W090        -> w090_n35_w085_n30.geojson
N30_W095        -> w095_n35_w090_n30.geojson
N30_W100        -> w100_n35_w095_n30.geojson
N30_W105        -> w105_n35_w100_n30.geojson
N30_W110        -> w110_n35_w105_n30.geojson
N30_W115        -> w115_n35_w110_n30.geojson
N30_W120        -> w120_n35_w115_n30.geojson
N35_W075        -> w075_n40_w070_n35.geojson
N35_W080        -> w080_n40_w075_n35.geojson
N35_W085        -> w085_n40_w080_n35.geojson
N35_W090        -> w090_n40_w085_n35.geojson
N35_W095        -> w095_n40_w090_n35.geojson
N35_W100        -> w100_n40_w095_n35.geojson
N35_W105        -> w105_n40_w100_n35.geojson
N35_W110        -> w110_n40_w105_n35.geojson
N35_W115        -> w115_n40_w110_n35.geojson
N35_W120        -> w120_n40_w115_n35.geojson
N35_W125        -> w125_n40_w120_n35.geojson
N40_W065        -> w065_n45_w060_n40.geojson
N40_W070        -> w070_n45_w065_n40.geojson
N40_W075        -> w075_n45_w070_n40.geojson
N40_W080        -> w080_n45_w075_n40.geojson
N40_W085        -> w085_n45_w080_n40.geojson
N40_W090        -> w090_n45_w085_n40.geojson
N40_W095        -> w095_n45_w090_n40.geojson
N40_W100        -> w100_n45_w095_n40.geojson
N40_W105        -> w105_n45_w100_n40.geojson
N40_W110        -> w110_n45_w105_n40.geojson
N40_W115        -> w115_n45_w110_n40.geojson
N40_W120        -> w120_n45_w115_n40.geojson
N40_W125        -> w125_n45_w120_n40.geojson
N45_W055        -> w055_n50_w050_n45.geojson
N45_W060        -> w060_n50_w055_n45.geojson
N45_W065        -> w065_n50_w060_n45.geojson
N45_W070        -> w070_n50_w065_n45.geojson
N45_W075        -> w075_n50_w070_n45.geojson
N45_W080        -> w080_n50_w075_n45.geojson
N45_W085        -> w085_n50_w080_n45.geojson
N45_W090        -> w090_n50_w085_n45.geojson
N45_W095        -> w095_n50_w090_n45.geojson
N45_W100        -> w100_n50_w095_n45.geojson
N45_W105        -> w105_n50_w100_n45.geojson
N45_W110        -> w110_n50_w105_n45.geojson
N45_W115        -> w115_n50_w110_n45.geojson
N45_W120        -> w120_n50_w115_n45.geojson
N45_W125        -> w125_n50_w120_n45.geojson
N50_W055        -> w055_n55_w050_n50.geojson
N50_W060        -> w060_n55_w055_n50.geojson
N50_W065        -> w065_n55_w060_n50.geojson
N50_W070        -> w070_n55_w065_n50.geojson
N50_W075        -> w075_n55_w070_n50.geojson
N50_W080        -> w080_n55_w075_n50.geojson
N50_W085        -> w085_n55_w080_n50.geojson
N50_W090        -> w090_n55_w085_n50.geojson
N50_W095        -> w095_n55_w090_n50.geojson
N50_W100        -> w100_n55_w095_n50.geojson
N50_W105        -> w105_n55_w100_n50.geojson
N50_W110        -> w110_n55_w105_n50.geojson
N50_W115        -> w115_n55_w110_n50.geojson
N50_W120        -> w120_n55_w115_n50.geojson
N50_W125        -> w125_n55_w120_n50.geojson
N50_W130        -> w130_n55_w125_n50.geojson
N50_W135        -> w135_n55_w130_n50.geojson
N50_W165        -> w165_n55_w160_n50.geojson
N50_W170        -> w170_n55_w165_n50.geojson
N50_W175        -> w175_n55_w170_n50.geojson
N50_W180        -> w180_n55_w175_n50.geojson
N55_W060        -> w060_n60_w055_n55.geojson
N55_W065        -> w065_n60_w060_n55.geojson
N55_W070        -> w070_n60_w065_n55.geojson
N55_W075        -> w075_n60_w070_n55.geojson
N55_W080        -> w080_n60_w075_n55.geojson
N55_W095        -> w095_n60_w090_n55.geojson
N55_W100        -> w100_n60_w095_n55.geojson
N55_W105        -> w105_n60_w100_n55.geojson
N55_W110        -> w110_n60_w105_n55.geojson
N55_W115        -> w115_n60_w110_n55.geojson
N55_W120        -> w120_n60_w115_n55.geojson
N55_W125        -> w125_n60_w120_n55.geojson
N55_W130        -> w130_n60_w125_n55.geojson
N55_W135        -> w135_n60_w130_n55.geojson
N55_W140        -> w140_n60_w135_n55.geojson
N55_W150        -> w150_n60_w145_n55.geojson
N55_W155        -> w155_n60_w150_n55.geojson
N55_W160        -> w160_n60_w155_n55.geojson
N55_W165        -> w165_n60_w160_n55.geojson
N55_W170        -> w170_n60_w165_n55.geojson
N60_W070        -> w070_n65_w065_n60.geojson
N60_W075        -> w075_n65_w070_n60.geojson
N60_W080        -> w080_n65_w075_n60.geojson
N60_W085        -> w085_n65_w080_n60.geojson
N60_W095        -> w095_n65_w090_n60.geojson
N60_W105        -> w105_n65_w100_n60.geojson
N60_W110        -> w110_n65_w105_n60.geojson
N60_W115        -> w115_n65_w110_n60.geojson
N60_W125        -> w125_n65_w120_n60.geojson
N60_W130        -> w130_n65_w125_n60.geojson
N60_W135        -> w135_n65_w130_n60.geojson
N60_W140        -> w140_n65_w135_n60.geojson
N60_W145        -> w145_n65_w140_n60.geojson
N60_W150        -> w150_n65_w145_n60.geojson
N60_W155        -> w155_n65_w150_n60.geojson
N60_W160        -> w160_n65_w155_n60.geojson
